pathway_id,rho,trial,U_pred,delta_hat,delta_star,regret,nregret,method
PW_0,0.2,19,0.5083295046317247,0.4191141674173634,0.43082323870929096,0.011709071291927553,0.027178364507966814,JL-FGW-U
PW_0,0.2,20,0.48878501554031234,0.41128153255222666,0.4269813892805789,0.015699856728352224,0.03676941607949414,JL-FGW-U
PW_0,0.2,21,0.48053121859598713,0.38662808733563364,0.393102385522989,0.006474298187355343,0.016469750022107713,JL-FGW-U
PW_0,0.2,22,0.5607111451964726,0.4451253203916052,0.48454190767447824,0.03941658728287306,0.08134814728114742,JL-FGW-U
PW_0,0.2,23,0.45617093216035565,0.38478629300079464,0.4267537790363306,0.04196748603553596,0.0983412148028126,JL-FGW-U
PW_0,0.2,24,0.42601458120016367,0.3547066207809834,0.38444348691350677,0.029736866132523354,0.07735042046819599,JL-FGW-U
PW_0,0.3,0,0.5403151545730955,0.4758295250430898,0.5069169498111202,0.031087424768030447,0.06132646416015312,JL-FGW-U
PW_0,0.3,1,0.6171099617911598,0.5567501114295715,0.6093010509445199,0.05255093951494838,0.0862479041698787,JL-FGW-U
PW_0,0.3,2,0.5542676756425889,0.5392234107072869,0.54591969701103,0.006696286303743193,0.012266064437215668,JL-FGW-U
PW_0,0.3,3,0.577327264449117,0.4749284386671898,0.4916451584225623,0.016716719755372478,0.034001594704994004,JL-FGW-U
PW_0,0.3,4,0.6048033369896072,0.506369919491164,0.5479095570373235,0.041539637546159525,0.07581476952624529,JL-FGW-U
PW_0,0.3,5,0.6587874779735222,0.5337538468689564,0.5392969698978584,0.0055431230289019195,0.010278424014078058,JL-FGW-U
PW_0,0.3,6,0.6064244799718219,0.4920103595939849,0.5262587769237903,0.03424841732980538,0.06507904130209807,JL-FGW-U
PW_0,0.3,7,0.6325214838482662,0.5917023985449705,0.5978536997200289,0.006151301175058355,0.010288973832643725,JL-FGW-U
PW_0,0.3,8,0.6059549827766946,0.5110486796662743,0.5625724412388585,0.051523761572584204,0.09158600187250922,JL-FGW-U
PW_0,0.3,9,0.6107527507342496,0.5031882874266725,0.5083452369335847,0.005156949506912145,0.010144580947731179,JL-FGW-U
PW_0,0.3,10,0.6080839639243348,0.44620715296589525,0.4870827447332567,0.04087559176736144,0.08391919313535608,JL-FGW-U
PW_0,0.3,11,0.5577127693580823,0.49174484289657505,0.5073773837480646,0.015632540851489574,0.030810479623480862,JL-FGW-U
