trial,pathway,strategy,step,n_metabolites,auc
10,Purine Metabolism,variance,2,4,0.982078853046595
10,Purine Metabolism,random,1,3,0.8279569892473118
10,Purine Metabolism,random,2,4,0.982078853046595
10,Pyrimidine Metabolism,commutator,1,5,0.978494623655914
10,Pyrimidine Metabolism,commutator,2,6,0.978494623655914
10,Pyrimidine Metabolism,variance,1,5,0.978494623655914
10,Pyrimidine Metabolism,variance,2,6,0.978494623655914
10,Pyrimidine Metabolism,random,1,5,0.978494623655914
10,Pyrimidine Metabolism,random,2,6,0.978494623655914
10,Tryptophan Metabolism,commutator,1,4,0.7706093189964157
10,Tryptophan Metabolism,commutator,2,5,0.8602150537634409
10,Tryptophan Metabolism,variance,1,4,0.7706093189964157
10,Tryptophan Metabolism,variance,2,5,0.8602150537634409
10,Tryptophan Metabolism,random,1,4,0.8637992831541219
10,Tryptophan Metabolism,random,2,5,0.8602150537634409
11,Arginine and Proline Metabolism,commutator,1,5,0.8279569892473118
11,Arginine and Proline Metabolism,commutator,2,6,1.0
11,Arginine and Proline Metabolism,variance,1,5,0.8279569892473118
11,Arginine and Proline Metabolism,variance,2,6,1.0
11,Arginine and Proline Metabolism,random,1,5,1.0
11,Arginine and Proline Metabolism,random,2,6,1.0
11,Purine Metabolism,commutator,1,3,0.978494623655914
11,Purine Metabolism,commutator,2,4,0.982078853046595
11,Purine Metabolism,variance,1,3,0.978494623655914
11,Purine Metabolism,variance,2,4,0.982078853046595
11,Purine Metabolism,random,1,3,0.978494623655914
11,Purine Metabolism,random,2,4,0.982078853046595
11,Pyrimidine Metabolism,commutator,1,5,0.982078853046595
11,Pyrimidine Metabolism,commutator,2,6,0.978494623655914
11,Pyrimidine Metabolism,variance,1,5,0.982078853046595
11,Pyrimidine Metabolism,variance,2,6,0.978494623655914
11,Pyrimidine Metabolism,random,1,5,0.953405017921147
11,Pyrimidine Metabolism,random,2,6,0.978494623655914
11,Tryptophan Metabolism,commutator,1,4,0.7706093189964157
11,Tryptophan Metabolism,commutator,2,5,0.8602150537634409
11,Tryptophan Metabolism,variance,1,4,0.7706093189964157
11,Tryptophan Metabolism,variance,2,5,0.8602150537634409
11,Tryptophan Metabolism,random,1,4,0.8637992831541219
11,Tryptophan Metabolism,random,2,5,0.8602150537634409
12,Arginine and Proline Metabolism,commutator,1,5,0.8279569892473118
12,Arginine and Proline Metabolism,commutator,2,6,1.0
12,Arginine and Proline Metabolism,variance,1,5,0.8279569892473118
12,Arginine and Proline Metabolism,variance,2,6,1.0
12,Arginine and Proline Metabolism,random,1,5,1.0
12,Arginine and Proline Metabolism,random,2,6,1.0
12,Purine Metabolism,commutator,1,3,0.978494623655914
12,Purine Metabolism,commutator,2,4,0.982078853046595
12,Purine Metabolism,variance,1,3,0.8279569892473118
12,Purine Metabolism,variance,2,4,0.982078853046595
12,Purine Metabolism,random,1,3,0.8279569892473118
12,Purine Metabolism,random,2,4,0.982078853046595
12,Pyrimidine Metabolism,commutator,1,5,0.978494623655914
12,Pyrimidine Metabolism,commutator,2,6,0.978494623655914
12,Pyrimidine Metabolism,variance,1,5,0.982078853046595
12,Pyrimidine Metabolism,variance,2,6,0.978494623655914
12,Pyrimidine Metabolism,random,1,5,0.978494623655914
12,Pyrimidine Metabolism,random,2,6,0.978494623655914
