dataset,pathway_id,pathway_name,mask_rate,trial,method,n_pathway_metabolites,n_observed,n_masked,oracle_metabolite,predicted_metabolite,oracle_gain,predicted_gain,regret,normalized_regret,is_top1,is_top3,is_top5
ST003390,hsa00250,Alanine Aspartate Glutamate Metabolism,0.5,70,proposed,5,2,3,Alanine,Alanine,264366.9837005747,264366.9837005747,0.0,0.0,1,1,1
ST003390,hsa00250,Alanine Aspartate Glutamate Metabolism,0.5,70,random,5,2,3,Alanine,Pyroglutamic acid,264366.9837005747,1554.8601346766554,262812.12356589804,0.9941185540156643,0,1,1
ST003390,hsa00250,Alanine Aspartate Glutamate Metabolism,0.5,70,degree,5,2,3,Alanine,Pyroglutamic acid,264366.9837005747,1554.8601346766554,262812.12356589804,0.9941185540156643,0,1,1
ST003390,hsa00250,Alanine Aspartate Glutamate Metabolism,0.5,70,imputation,5,2,3,Alanine,Alanine,264366.9837005747,264366.9837005747,0.0,0.0,1,1,1
ST003390,hsa00250,Alanine Aspartate Glutamate Metabolism,0.5,71,proposed,5,2,3,Glutamine,Glutamine,292010.6867983385,292010.6867983385,0.0,0.0,1,1,1
ST003390,hsa00250,Alanine Aspartate Glutamate Metabolism,0.5,71,random,5,2,3,Glutamine,Alanine,292010.6867983385,264366.94595738576,27643.740840952727,0.09466688066811539,0,1,1
ST003390,hsa00250,Alanine Aspartate Glutamate Metabolism,0.5,71,degree,5,2,3,Glutamine,Glutamine,292010.6867983385,292010.6867983385,0.0,0.0,1,1,1
ST003390,hsa00250,Alanine Aspartate Glutamate Metabolism,0.5,71,imputation,5,2,3,Glutamine,Glutamine,292010.6867983385,292010.6867983385,0.0,0.0,1,1,1
ST003390,hsa00250,Alanine Aspartate Glutamate Metabolism,0.5,72,proposed,5,2,3,Glutamine,Glutamine,292010.6017192326,292010.6017192326,0.0,0.0,1,1,1
ST003390,hsa00250,Alanine Aspartate Glutamate Metabolism,0.5,72,random,5,2,3,Glutamine,Alanine,292010.6017192326,264366.94957271346,27643.65214651916,0.09466660451286785,0,1,1
ST003390,hsa00250,Alanine Aspartate Glutamate Metabolism,0.5,72,degree,5,2,3,Glutamine,Pyroglutamic acid,292010.6017192326,1554.7170335714413,290455.8846856612,0.9946758199037365,0,1,1
ST003390,hsa00250,Alanine Aspartate Glutamate Metabolism,0.5,72,imputation,5,2,3,Glutamine,Glutamine,292010.6017192326,292010.6017192326,0.0,0.0,1,1,1
ST003390,hsa00250,Alanine Aspartate Glutamate Metabolism,0.5,73,proposed,5,2,3,Glutamine,Glutamine,292010.6017192326,292010.6017192326,0.0,0.0,1,1,1
ST003390,hsa00250,Alanine Aspartate Glutamate Metabolism,0.5,73,random,5,2,3,Glutamine,Glutamine,292010.6017192326,292010.6017192326,0.0,0.0,1,1,1
ST003390,hsa00250,Alanine Aspartate Glutamate Metabolism,0.5,73,degree,5,2,3,Glutamine,Pyroglutamic acid,292010.6017192326,1554.7170335714413,290455.8846856612,0.9946758199037365,0,1,1
ST003390,hsa00250,Alanine Aspartate Glutamate Metabolism,0.5,73,imputation,5,2,3,Glutamine,Glutamine,292010.6017192326,292010.6017192326,0.0,0.0,1,1,1
ST003390,hsa00250,Alanine Aspartate Glutamate Metabolism,0.5,74,proposed,5,2,3,Glutamine,Glutamine,292010.6017192326,292010.6017192326,0.0,0.0,1,1,1
ST003390,hsa00250,Alanine Aspartate Glutamate Metabolism,0.5,74,random,5,2,3,Glutamine,Alanine,292010.6017192326,264366.94957271346,27643.65214651916,0.09466660451286785,0,1,1
ST003390,hsa00250,Alanine Aspartate Glutamate Metabolism,0.5,74,degree,5,2,3,Glutamine,Pyroglutamic acid,292010.6017192326,1554.7170335714413,290455.8846856612,0.9946758199037365,0,1,1
ST003390,hsa00250,Alanine Aspartate Glutamate Metabolism,0.5,74,imputation,5,2,3,Glutamine,Glutamine,292010.6017192326,292010.6017192326,0.0,0.0,1,1,1
ST003390,hsa00250,Alanine Aspartate Glutamate Metabolism,0.5,75,proposed,5,2,3,Alanine,Alanine,264366.9837005747,264366.9837005747,0.0,0.0,1,1,1
ST003390,hsa00250,Alanine Aspartate Glutamate Metabolism,0.5,75,random,5,2,3,Alanine,Pyroglutamic acid,264366.9837005747,1554.8601346766554,262812.12356589804,0.9941185540156643,0,1,1
ST003390,hsa00250,Alanine Aspartate Glutamate Metabolism,0.5,75,degree,5,2,3,Alanine,Pyroglutamic acid,264366.9837005747,1554.8601346766554,262812.12356589804,0.9941185540156643,0,1,1
ST003390,hsa00250,Alanine Aspartate Glutamate Metabolism,0.5,75,imputation,5,2,3,Alanine,Alanine,264366.9837005747,264366.9837005747,0.0,0.0,1,1,1
ST003390,hsa00250,Alanine Aspartate Glutamate Metabolism,0.5,76,proposed,5,2,3,Glutamine,Glutamine,292010.6260295542,292010.6260295542,0.0,0.0,1,1,1
ST003390,hsa00250,Alanine Aspartate Glutamate Metabolism,0.5,76,random,5,2,3,Glutamine,Glutamine,292010.6260295542,292010.6260295542,0.0,0.0,1,1,1
ST003390,hsa00250,Alanine Aspartate Glutamate Metabolism,0.5,76,degree,5,2,3,Glutamine,Glutamine,292010.6260295542,292010.6260295542,0.0,0.0,1,1,1
ST003390,hsa00250,Alanine Aspartate Glutamate Metabolism,0.5,76,imputation,5,2,3,Glutamine,Glutamine,292010.6260295542,292010.6260295542,0.0,0.0,1,1,1
ST003390,hsa00250,Alanine Aspartate Glutamate Metabolism,0.5,77,proposed,5,2,3,Alanine,Alanine,264366.9854570639,264366.9854570639,0.0,0.0,1,1,1
ST003390,hsa00250,Alanine Aspartate Glutamate Metabolism,0.5,77,random,5,2,3,Alanine,Aspartic acid,264366.9854570639,589.2106728593965,263777.7747842045,0.9977712395825798,0,1,1
ST003390,hsa00250,Alanine Aspartate Glutamate Metabolism,0.5,77,degree,5,2,3,Alanine,Asparagine,264366.9854570639,1719.4276541493184,262647.5578029146,0.9934960575686991,0,1,1
ST003390,hsa00250,Alanine Aspartate Glutamate Metabolism,0.5,77,imputation,5,2,3,Alanine,Alanine,264366.9854570639,264366.9854570639,0.0,0.0,1,1,1
ST003390,hsa00250,Alanine Aspartate Glutamate Metabolism,0.5,78,proposed,5,2,3,Glutamine,Glutamine,292010.36679868936,292010.36679868936,0.0,0.0,1,1,1
ST003390,hsa00250,Alanine Aspartate Glutamate Metabolism,0.5,78,random,5,2,3,Glutamine,Asparagine,292010.36679868936,1719.2525969667417,290291.1142017226,0.9941123576679317,0,1,1
ST003390,hsa00250,Alanine Aspartate Glutamate Metabolism,0.5,78,degree,5,2,3,Glutamine,Pyroglutamic acid,292010.36679868936,1554.5125272810426,290455.8542714083,0.9946765159596106,0,1,1
ST003390,hsa00250,Alanine Aspartate Glutamate Metabolism,0.5,78,imputation,5,2,3,Glutamine,Glutamine,292010.36679868936,292010.36679868936,0.0,0.0,1,1,1
ST003390,hsa00250,Alanine Aspartate Glutamate Metabolism,0.5,79,proposed,5,2,3,Alanine,Alanine,264366.9837005747,264366.9837005747,0.0,0.0,1,1,1
ST003390,hsa00250,Alanine Aspartate Glutamate Metabolism,0.5,79,random,5,2,3,Alanine,Asparagine,264366.9837005747,1719.5075917788934,262647.47610879585,0.9934957551517613,0,1,1
ST003390,hsa00250,Alanine Aspartate Glutamate Metabolism,0.5,79,degree,5,2,3,Alanine,Pyroglutamic acid,264366.9837005747,1554.8601346766554,262812.12356589804,0.9941185540156643,0,1,1
ST003390,hsa00250,Alanine Aspartate Glutamate Metabolism,0.5,79,imputation,5,2,3,Alanine,Alanine,264366.9837005747,264366.9837005747,0.0,0.0,1,1,1
ST003390,hsa00250,Alanine Aspartate Glutamate Metabolism,0.5,80,proposed,5,2,3,Glutamine,Glutamine,292010.8258588179,292010.8258588179,0.0,0.0,1,1,1
ST003390,hsa00250,Alanine Aspartate Glutamate Metabolism,0.5,80,random,5,2,3,Glutamine,Glutamine,292010.8258588179,292010.8258588179,0.0,0.0,1,1,1
ST003390,hsa00250,Alanine Aspartate Glutamate Metabolism,0.5,80,degree,5,2,3,Glutamine,Glutamine,292010.8258588179,292010.8258588179,0.0,0.0,1,1,1
ST003390,hsa00250,Alanine Aspartate Glutamate Metabolism,0.5,80,imputation,5,2,3,Glutamine,Glutamine,292010.8258588179,292010.8258588179,0.0,0.0,1,1,1
ST003390,hsa00250,Alanine Aspartate Glutamate Metabolism,0.5,81,proposed,5,2,3,Glutamine,Glutamine,292010.6260295542,292010.6260295542,0.0,0.0,1,1,1
ST003390,hsa00250,Alanine Aspartate Glutamate Metabolism,0.5,81,random,5,2,3,Glutamine,Glutamine,292010.6260295542,292010.6260295542,0.0,0.0,1,1,1
