pathway,H_transport,SGI,alignment_instability,Instab,score_entropy_only,score_sgi_only,score_instability_only,score_full,score_without_entropy,score_without_sgi,score_without_instability
Pathway_11,0.1642923965040352,0.1544209615012172,0.1578187110375304,7.28,-0.7205437589059094,-0.7492399906835043,-0.6529004259798606,-0.7075613918564247,-0.7010702083316824,-0.686722092442885,-0.7348918747947069
Pathway_12,0.0329007685623184,0.0356197600930481,0.0414764737426687,9.28,-1.2989828424034506,-1.487788277580186,-1.2742978741873803,-1.3536896647236722,-1.3810430758837833,-1.2866403582954153,-1.3933855599918183
Pathway_13,0.3501171403330101,0.1927730360830842,0.2917973125189789,5.52,0.09753191452495534,-0.5108176629154964,0.06269489873426402,-0.11686361655209232,-0.22406138209061616,0.08011340662960968,-0.2066428741952705
Pathway_14,0.0527989878596892,0.0821667906511231,0.0857406768993053,3.74,-1.2113828338343362,-1.1984205837242727,-1.0378776064667077,-1.1492270080084388,-1.1181490950954902,-1.124630220150522,-1.2049017087793046
Pathway_15,0.0633132415730581,0.0972961533179839,0.0605211797242828,6.34,-1.1650948368219274,-1.1043662749546281,-1.172577880021855,-1.14734633059947,-1.1384720774882415,-1.168836358421891,-1.1347305558882779
Pathway_16,0.1297009930379417,0.1538766802490118,0.163084039005362,6.56,-0.8728291063916448,-0.752623609549657,-0.6247776956691659,-0.7500768038701559,-0.6887006526094115,-0.7488034010304053,-0.812726357970651
Pathway_17,0.2707401911969307,0.1667807551123253,0.1654910765578437,7.52,-0.25191751713496546,-0.6724031886168482,-0.6119214275791774,-0.5120807111103304,-0.6421623080980128,-0.43191947235707145,-0.46216035287590684
Pathway_18,0.4711851698452167,0.3485690058642673,0.3434579312461913,4.52,0.6305223426742923,0.4577150221368616,0.3386202840141736,0.47561921627510917,0.3981676530755176,0.484571313344233,0.5441186824055769
Pathway_19,0.6343005335813499,0.4625651605902667,0.3794679033129272,6.74,1.3486221408269574,1.166391902402036,0.5309537415149261,1.0153225949146398,0.848672821958481,0.9397879411709418,1.2575070216144968
Pathway_20,0.5864337281741604,0.465383508475966,0.3906310646502223,5.68,1.1378931051689796,1.183912651167115,0.5905774872001949,0.9707944145120964,0.8872450691836549,0.8642352961845872,1.1609028781680473
Pathway_21,0.1334618857122579,0.1067157028812396,0.1049102674411392,7.16,-0.8562721358620683,-1.0458080103005594,-0.9354905893106892,-0.9458569118244389,-0.9906492998056242,-0.8958813625863787,-0.9510400730813138
Pathway_22,0.1257500924807509,0.1710856824121066,0.091562460295529,5.9,-0.8902225684644727,-0.6456408609233372,-1.0067827828622617,-0.8475487374166905,-0.8262118218927994,-0.9485026756633672,-0.7679317146939049
Pathway_23,0.7823371442398223,0.4842215457896095,0.7436462273171082,5.5,2.0003391697943833,1.3010225795312782,2.476072612275064,1.9258114538669082,1.888547595903171,2.2382058910347236,1.6506808746628308
Pathway_24,0.3121955572804557,0.3374895676963734,0.4373577743695241,6.14,-0.06941423028897147,0.38883777189288304,0.8401502894587435,0.38652461035421826,0.6144940306758133,0.38536802958488603,0.15971177080195578
Pathway_25,0.7133146697085155,0.5051335426561668,0.5504050957596855,6.44,1.6964743228930903,1.4310256373986936,1.4439492078215088,1.5238163893710974,1.437487422610101,1.5702117653572996,1.563749980145892
Pathway_26,0.2124044625714704,0.3071033155802541,0.2829787500701708,9.72,-0.5087349866334078,0.1999363619781226,0.015593928957830025,-0.09773489856581838,0.1077651454679763,-0.24657052883778888,-0.1543993123276426
Pathway_27,0.5974022985433645,0.3850111849570289,0.3360585289697064,1.74,1.1861811878347568,0.684264153128145,0.2990992141105979,0.7231815183578332,0.4916816836193715,0.7426402009726774,0.9352226704814509
Pathway_28,0.3984681454423094,0.3839266541558049,0.4126327626911206,5.88,0.3103925930912808,0.677521979178416,0.7080911205696162,0.5653352309464377,0.6928065498740161,0.5092418568304485,0.49395728613484835
Pathway_29,0.2257259276029808,0.1985627188707232,0.3078418677339349,10.06,-0.45008851010836215,-0.47482509504747505,0.1483907380099855,-0.25884095571528387,-0.1632171785187448,-0.15084888604918834,-0.4624568025779186
